index,名次,股东名称,股份类型,持股数,占总股本持股比例,增减,变动比率
0,1,HKSCC NOMINEES LIMITED,流通H股,1227164245,40.38,-97463,-0.0079415
1,2,王传福,"流通A股,限售流通A股",513623850,16.9,不变,
2,3,吕向阳,"流通A股,限售流通A股",239228620,7.87,不变,
3,4,融捷投资控股集团有限公司,流通A股,155149602,5.11,不变,
4,5,香港中央结算有限公司,流通A股,128002614,4.21,2584990,2.06110586
5,6,夏佐全,"流通A股,限售流通A股",82635607,2.72,不变,
6,7,王念强,流通A股,18299740,0.6,不变,
7,8,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,流通A股,16058154,0.53,1272719,8.60792395
8,9,中央汇金资产管理有限责任公司,流通A股,11976633,0.39,不变,
9,10,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,流通A股,11489439,0.38,新进,
